country,num_skills,num_interests,projects,hackathon,achievement,followers,following,likes,status
US,3,5,1,2,4,4,6,1,1
US,3,1,0,1,1,0,0,0,1
Indonesia,8,8,8,19,9,17,9,8,0
India,11,6,6,186,9,11,14,42,0
India,5,2,3,7,4,3,1,5,1
US,3,14,0,1,1,0,0,0,1
US,1,6,0,1,1,0,0,0,1
India,6,2,1,1,1,0,0,0,0
Canada,3,5,0,1,1,0,0,0,1
US,8,9,18,21,10,16,6,18,1
India,5,2,2,4,3,0,0,1,0
India,6,9,10,6,1,1,1,0,1
US,5,7,0,1,1,0,0,0,0
US,4,1,1,1,1,0,0,0,1
US,1,4,0,1,1,0,0,0,0
France,4,4,4,12,8,3,1,4,1
India,7,6,0,1,1,0,0,0,0
India,2,14,10,42,7,13,30,13,1
US,1,1,0,1,1,0,0,0,1
US,4,6,0,1,1,0,0,0,1
US,4,9,0,2,1,1,0,0,1
US,5,4,0,1,1,0,0,0,1
US,3,5,0,1,1,0,0,0,1
US,11,0,5,9,4,9,4,4,0
US,8,4,0,1,1,0,0,0,1
US,2,1,0,1,1,0,0,0,1
US,2,1,0,1,1,0,0,0,1
Canada,10,7,1,2,3,0,0,0,1
US,5,2,0,1,1,0,0,0,0
Unknown,5,4,3,5,4,1,0,3,0
US,6,5,0,1,1,0,0,0,0
US,5,2,0,1,1,0,0,0,1
India,4,5,12,9,3,0,0,4,0
US,5,7,2,11,6,1,0,0,1
US,10,5,0,2,1,0,2,0,1
US,14,7,0,1,1,0,0,0,1
US,1,4,0,1,1,0,0,0,0
US,4,2,0,1,1,0,0,0,0
US,1,4,0,1,1,0,0,0,1
US,9,5,0,1,1,0,0,0,1
US,2,11,0,1,1,0,0,0,1
US,2,2,0,1,1,0,0,0,1
US,6,4,1,2,4,0,0,1,1
US,4,4,1,2,4,0,0,0,1
US,12,7,4,5,6,2,0,1,1
US,4,2,0,1,1,0,0,0,1
US,6,6,0,2,1,0,0,0,1
US,4,5,1,2,4,0,0,1,1
US,11,7,1,3,1,0,0,0,1
US,2,7,0,1,1,0,0,0,1
US,4,2,2,2,1,0,0,0,0
India,7,2,0,2,1,0,0,0,0
Canada,8,2,0,1,1,0,0,0,1
US,2,7,0,1,1,0,0,0,0
Unknown,8,6,0,1,1,0,0,0,1
US,1,2,0,1,1,0,0,0,0
US,9,3,0,1,1,2,1,0,1
Unknown,0,0,0,1,1,1,0,0,1
US,5,6,0,1,1,0,0,0,0
US,5,8,0,1,1,0,0,0,1
US,7,4,0,3,1,0,0,0,1
Canada,4,6,0,1,1,0,0,0,1
US,3,5,0,1,1,0,0,0,1
US,8,4,3,4,7,2,0,1,1
US,6,8,0,1,1,1,0,0,1
US,3,7,0,2,2,3,2,1,1
US,8,11,0,1,1,3,3,0,1
US,2,3,0,1,1,0,0,0,1
US,9,10,0,1,1,0,0,0,1
US,2,4,0,1,1,0,0,0,0
US,1,3,0,1,1,0,0,0,1
US,5,6,0,1,1,0,0,0,1
US,3,4,0,1,1,0,0,0,1
US,6,10,0,1,1,1,3,0,1
US,5,3,0,1,1,2,1,0,1
US,2,4,0,1,1,0,0,0,1
Unknown,0,0,0,1,1,0,0,0,1
US,5,2,0,1,1,0,0,0,1
US,7,4,0,1,1,2,1,0,1
US,2,1,0,1,1,0,0,0,1
US,1,8,0,1,1,1,2,0,1
US,5,0,0,1,1,0,0,0,1
Canada,3,6,0,1,1,1,0,0,1
US,6,2,0,2,1,0,0,0,1
US,1,7,0,1,1,0,0,0,0
Unknown,0,0,0,1,1,0,0,0,1
US,12,8,0,1,1,0,0,0,1
US,5,7,0,1,1,0,0,0,1
US,1,1,0,1,1,0,0,0,1
US,6,8,3,4,8,2,1,2,1
Unknown,7,0,0,1,1,0,0,0,1
US,1,4,0,1,1,1,2,0,1
US,10,4,0,1,1,1,1,0,1
US,14,6,4,5,6,1,0,2,1
US,3,6,0,1,1,0,0,0,1
US,1,2,0,1,1,0,0,0,1
US,8,4,1,2,4,0,0,0,1
US,5,1,0,2,1,0,0,0,1
US,12,12,3,4,5,5,5,0,1
US,4,2,0,1,1,0,0,0,1
Canada,2,9,0,1,1,0,0,0,1
Canada,1,4,0,1,1,0,0,0,1
US,3,0,0,1,1,0,0,0,1
US,3,5,0,1,1,0,0,0,1
India,3,1,0,1,1,0,0,0,1
Canada,1,1,1,2,4,0,1,1,1
US,12,8,2,4,7,0,0,1,1
Unknown,0,0,0,1,1,0,0,0,1
India,4,2,0,1,1,0,0,0,1
US,4,5,0,1,1,0,0,0,1
US,1,7,0,1,1,0,0,0,1
US,4,2,0,1,1,0,0,0,1
India,4,4,0,1,1,0,0,0,1
US,7,5,1,2,3,0,0,0,1
US,7,2,1,2,4,0,1,0,0
US,5,5,2,4,5,2,0,0,1
US,2,4,0,1,1,0,0,0,1
US,2,8,0,1,1,0,0,0,1
US,4,0,4,8,4,7,4,8,0
India,8,6,2,6,4,1,1,1,1
US,1,2,0,1,1,0,0,0,1
US,5,15,0,1,1,0,0,0,1
India,1,1,0,1,1,0,0,0,0
US,3,3,0,1,1,0,0,0,0
US,3,4,0,1,1,0,0,0,1
US,5,6,1,4,3,1,11,3,1
US,4,3,0,1,1,0,0,0,0
Unknown,0,0,0,1,1,0,0,0,1
India,5,4,0,1,1,0,0,0,1
Romania,11,14,11,254,8,29,3,6,0
US,2,0,0,1,1,0,0,0,1
India,15,8,56,13,3,1,1,17,0
Unknown,12,5,5,27,4,8,13,2,1
India,5,1,0,1,1,0,0,0,1
India,3,7,0,1,1,0,0,0,1
Unknown,1,9,15,43,7,1,0,8,0
Canada,6,5,0,1,1,0,0,0,1
US,11,12,0,1,1,0,0,0,1
US,11,5,1,2,5,0,0,1,1
India,10,7,1,12,4,1,1,1,0
US,2,2,1,2,3,0,0,4,1
US,2,2,0,1,1,0,0,0,1
US,2,2,0,1,1,0,0,0,0
US,12,9,0,1,1,2,1,0,1
US,10,2,1,2,5,2,3,1,1
Unknown,9,4,0,1,1,0,0,0,1
US,5,10,1,4,3,0,0,1,1
Unknown,5,3,0,1,1,0,0,0,1
US,9,3,0,1,1,0,1,0,1
US,1,6,0,2,1,0,0,0,1
Unknown,4,4,0,1,1,0,0,0,1
US,5,3,1,2,5,0,0,2,1
US,9,6,2,3,5,2,3,1,1
US,2,5,0,1,1,0,0,0,1
US,3,6,0,1,1,1,0,0,1
US,11,6,0,1,1,0,0,0,1
US,18,2,0,1,1,0,0,0,1
US,8,4,0,2,1,0,0,0,1
US,4,4,0,1,2,4,4,0,1
US,4,0,2,3,5,6,7,0,1
US,6,6,0,1,1,4,4,0,1
US,3,0,0,1,1,4,4,0,1
US,9,5,0,1,1,0,0,0,1
US,2,3,0,1,1,0,0,0,1
US,3,4,1,3,5,2,3,2,1
US,1,6,0,2,1,0,0,0,1
US,7,4,3,4,6,5,5,4,1
India,3,5,0,1,1,0,0,0,1
US,0,0,1,3,6,2,3,1,1
US,4,5,0,1,1,0,0,0,1
US,7,6,0,1,1,2,2,0,1
US,8,3,3,4,6,5,5,3,1
US,2,1,0,1,1,1,0,0,1
US,10,5,2,5,5,6,11,3,1
India,5,4,0,1,1,0,0,0,1
US,9,4,0,1,1,0,0,0,1
Canada,19,7,2,3,5,1,0,3,1
US,3,6,0,1,1,0,0,0,1
US,5,4,0,1,1,0,0,0,1
US,5,3,0,3,1,0,0,0,1
US,1,3,0,1,1,0,0,0,0
US,2,7,0,1,1,0,0,0,1
US,11,4,1,2,4,0,0,2,1
US,1,5,0,1,1,2,3,0,1
US,6,7,0,1,1,0,0,0,1
India,3,5,3,5,1,0,0,2,1
US,4,3,0,1,1,0,0,0,1
US,3,2,0,1,1,0,0,0,1
US,9,7,0,1,1,0,0,0,1
US,2,3,0,1,1,0,0,0,0
US,1,3,0,1,1,2,3,0,1
